byte_offset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,971,18,57,23,47,7,8,6,15,45,18,6,2,1,3,0,11,8,5,9,5,21,11,4,6,2,9,1,5,10,3,1,7,8,9,0,6,3,3,8,2,3,9,3,2,44,3,3,3,12,2,4,2,5,2,5,3,3,4,0,1,12,4,0,15,4,4,1,4,3,0,1,3,2,1,1,1,0,7,1,0,1,4,1,3,2,3,12,4,0,14,1,5,0,3,37,3,1,1,1,1,1,6,0,1,0,1,0,1,1,1,1,2,0,3,3,2,1,1,8,4,1,0,1,4,4,9,0,3,4,4,0,2,6,4,4,7,0,0,1,0,0,1,2,4,0,0,1,4,1,3,0,3,0,2,0,1,0,0,0,0,0,3,4,2,4,2,0,3,0,1,1,0,1,5,2,5,2,1,0,1,0,4,0,0,0,4,1,0,0,26,1,21,4,1,0,1,5,2,5,1,2,4,12,3,0,5,12,8,0,0,0,3,1,2,3,4,0,3,0,1,0,3,1,3,2,0,1,0,2,4,0,5,0,1,0,3,1,1,0,10,2,0,0,0,2,9,21,3,9,0,1,3,3,6,5
128,903,18,59,26,46,7,9,5,17,51,19,6,4,1,4,1,12,9,5,11,5,23,11,7,4,2,10,1,8,10,4,1,11,8,8,0,5,3,3,8,2,3,10,3,2,44,3,3,4,12,2,3,2,4,2,6,3,2,4,0,1,13,1,0,15,5,4,1,5,4,1,1,3,3,1,1,2,0,7,1,0,1,4,0,3,2,3,14,3,0,14,1,5,0,3,38,3,3,1,2,2,1,6,0,1,1,1,0,2,3,2,2,2,0,3,3,2,1,2,10,2,1,0,1,4,4,9,0,7,5,4,0,1,10,5,6,7,0,0,1,0,0,0,2,3,0,0,2,4,1,3,0,2,0,2,0,1,0,0,0,1,0,4,4,2,4,3,0,2,0,1,1,0,2,5,2,5,2,1,0,1,0,3,0,0,0,4,1,0,0,26,1,25,4,1,0,1,5,2,5,1,1,4,12,3,0,5,11,8,0,1,0,4,0,2,3,3,0,4,0,1,0,2,1,1,1,0,1,0,4,4,0,5,0,1,0,3,1,1,0,10,2,0,0,0,2,8,27,3,9,0,1,4,4,6,7
256,791,21,66,35,47,8,10,6,19,53,22,6,7,1,4,1,12,9,5,11,8,25,13,15,5,2,10,1,8,10,4,1,16,11,10,0,6,3,3,8,2,3,10,3,2,44,3,4,4,12,2,3,2,4,2,6,3,2,4,0,1,15,1,0,16,5,4,1,5,4,1,1,3,3,1,1,2,0,7,1,0,1,4,0,4,2,3,15,3,0,14,1,5,0,3,38,3,5,1,2,4,1,7,0,1,2,1,0,3,3,3,3,3,0,8,4,2,1,2,10,2,2,1,1,5,4,9,0,7,5,4,0,2,10,6,7,7,0,2,3,0,0,0,2,3,0,0,3,4,2,3,0,2,0,2,0,1,0,0,0,6,0,4,4,2,5,3,0,2,1,1,1,0,2,6,2,5,2,1,0,1,0,3,0,0,0,4,1,0,0,26,0,27,4,2,0,1,5,2,5,1,1,5,12,3,0,5,11,8,1,1,0,4,0,3,4,3,0,4,0,1,0,1,2,1,1,0,1,0,4,4,1,5,0,1,0,3,1,1,0,9,2,0,0,1,2,8,30,3,9,0,2,4,4,6,6
384,685,28,70,42,47,8,11,7,20,59,25,7,7,4,5,2,13,10,5,11,8,25,13,17,6,2,10,1,8,11,4,1,20,11,10,0,6,3,3,8,2,3,10,3,3,45,2,4,4,12,2,3,2,4,2,6,3,2,4,0,1,15,1,1,15,5,4,1,6,4,1,1,3,3,1,1,3,1,7,1,0,1,4,0,5,2,3,15,4,0,14,1,6,0,3,38,4,6,1,1,4,2,8,0,1,3,1,0,4,3,4,4,3,0,7,4,1,0,2,13,2,3,1,1,5,4,9,0,8,6,4,0,2,12,6,10,7,0,5,7,0,0,0,2,3,0,0,3,4,4,3,0,2,0,2,0,1,0,0,0,6,0,4,5,3,5,3,0,2,2,1,1,0,2,7,2,5,2,1,0,3,0,3,0,0,0,4,1,0,0,26,1,27,5,2,1,1,5,2,5,1,2,5,12,3,2,5,11,8,2,1,0,4,1,3,4,3,0,4,0,2,0,1,2,1,2,1,1,1,4,4,1,5,0,1,0,3,2,1,0,9,2,0,0,1,2,8,35,3,9,0,2,5,6,7,7
512,631,34,69,48,48,9,13,8,22,63,27,7,7,5,6,3,16,12,6,13,8,28,13,19,6,2,10,2,9,12,4,1,21,11,12,0,7,3,4,8,2,3,10,3,4,45,2,5,5,13,2,3,1,4,2,6,2,2,4,0,1,16,1,1,12,5,4,2,7,4,1,1,3,3,1,1,4,2,7,1,0,1,4,1,5,2,2,15,3,0,9,1,6,0,3,40,4,6,1,1,4,4,9,0,2,3,0,0,4,4,4,5,3,0,12,5,2,0,2,14,2,4,1,1,5,4,10,0,11,7,6,0,4,13,6,12,4,0,5,7,1,0,0,2,3,0,0,3,7,5,3,0,1,0,1,0,1,0,0,0,8,0,4,5,5,6,3,0,2,2,1,1,0,2,6,1,5,2,1,0,3,0,3,0,0,0,5,0,0,0,26,2,29,5,3,1,1,5,2,3,1,1,4,8,2,2,3,4,6,2,1,0,4,1,2,3,1,0,3,0,1,0,2,2,1,2,1,1,1,4,4,1,5,0,1,0,2,2,0,0,6,2,0,0,1,2,7,40,3,8,0,2,5,6,7,7
640,509,39,71,48,49,9,13,8,26,63,30,8,7,7,7,8,16,13,6,13,8,28,13,19,6,2,10,2,10,12,4,1,28,11,12,0,7,3,4,8,2,3,10,3,4,45,2,5,5,13,2,3,1,4,2,9,2,2,4,0,1,16,1,3,12,5,4,2,7,4,1,1,3,6,1,1,5,2,7,2,0,1,4,1,5,2,2,15,3,0,9,1,6,0,3,40,5,10,1,2,8,5,9,0,2,12,0,0,7,7,14,14,7,0,12,8,9,0,5,18,2,5,1,1,5,4,10,0,11,7,6,0,4,13,6,14,4,0,7,8,1,0,0,2,4,0,0,3,7,5,3,0,1,0,1,0,1,0,0,0,9,0,4,5,5,6,3,0,2,2,1,1,0,2,6,1,5,2,1,0,3,0,3,0,0,0,5,0,0,0,26,2,29,5,3,1,1,5,2,3,1,1,4,8,2,3,3,4,6,2,1,0,4,1,2,3,1,0,3,0,1,0,2,2,1,2,1,1,2,4,4,1,5,0,1,0,2,2,0,0,6,2,0,0,1,2,7,42,3,8,1,2,5,6,7,7
768,394,41,77,53,54,10,13,9,30,66,33,12,11,11,10,8,16,13,8,13,10,30,13,19,6,2,10,2,10,12,4,1,30,12,12,0,8,3,4,8,2,3,10,3,6,45,2,6,6,14,2,3,1,4,2,10,2,2,4,0,2,17,3,4,14,5,4,4,8,4,1,1,3,6,1,1,5,2,8,2,1,2,4,1,5,2,3,15,3,0,9,1,6,0,3,40,5,10,1,2,8,5,9,0,3,12,0,0,7,7,14,14,7,0,12,8,9,0,6,21,3,5,1,1,6,4,11,0,12,8,6,1,4,13,7,16,4,0,8,9,1,0,0,2,4,0,0,4,9,5,3,0,1,0,1,0,1,0,0,0,10,0,4,5,5,6,4,0,2,2,1,1,0,2,6,2,5,2,1,0,4,0,3,0,0,0,5,0,0,0,26,3,31,6,3,1,1,5,2,3,1,2,4,8,2,3,3,4,6,2,1,1,4,1,2,4,1,0,3,0,1,0,2,2,1,2,1,1,2,4,4,1,5,0,1,0,2,2,0,0,6,2,0,0,1,2,7,48,3,9,1,2,5,7,7,9
896,280,43,79,62,54,12,15,9,34,67,37,14,12,13,11,8,18,17,11,15,10,33,13,21,6,2,10,2,11,14,4,1,31,15,12,1,8,3,5,8,2,3,10,5,6,46,2,6,6,14,2,3,1,4,2,10,2,2,4,0,3,17,3,4,15,6,5,6,8,4,1,1,3,6,1,1,5,2,8,2,1,2,5,1,5,2,3,15,3,0,9,1,7,0,3,40,5,11,2,2,8,6,10,0,3,13,0,0,7,8,14,14,7,0,12,8,9,0,6,22,3,5,2,1,6,4,12,0,12,8,9,1,4,16,7,21,4,0,8,11,1,0,0,2,4,0,0,5,9,5,3,0,1,0,1,0,1,0,0,0,13,0,4,5,5,6,5,0,2,2,1,1,0,2,6,2,5,3,1,0,4,0,4,0,0,0,5,0,0,0,26,3,32,8,3,1,2,5,2,3,1,5,4,8,2,3,3,4,6,2,1,1,4,1,3,5,1,0,4,0,1,0,2,2,1,2,1,2,2,5,4,1,5,0,1,0,2,2,1,0,6,2,0,0,1,2,8,51,3,9,1,2,5,7,7,9
1024,224,46,81,64,55,12,16,9,36,69,39,15,13,13,12,8,21,17,10,15,10,36,13,21,6,2,10,2,11,15,5,1,32,15,12,1,8,3,7,8,2,3,10,5,6,48,2,8,7,8,2,3,1,5,2,10,2,2,4,0,4,17,3,5,14,7,5,7,10,6,2,1,3,6,1,1,6,2,8,2,1,2,5,1,4,3,1,15,2,0,5,1,7,0,3,40,5,12,3,3,9,6,11,2,3,15,0,0,7,11,16,19,8,0,12,10,9,4,6,23,3,5,2,1,6,4,12,0,17,10,8,1,4,16,7,24,9,0,9,12,1,0,0,2,4,0,0,6,8,5,3,0,1,0,1,0,1,0,0,0,13,0,4,5,5,6,5,0,2,2,1,1,0,2,6,2,1,1,0,0,4,0,3,1,0,0,5,0,0,0,26,3,33,9,3,1,2,5,2,1,1,5,3,0,1,3,1,0,1,3,1,1,4,3,2,6,0,0,2,0,1,0,2,2,1,3,1,2,2,5,5,1,5,2,1,0,2,2,1,0,5,2,0,0,4,4,7,54,2,9,1,2,5,7,9,9
1152,228,46,84,63,53,11,15,10,37,71,40,16,17,14,12,8,24,18,9,11,8,40,12,20,6,2,9,2,12,16,7,1,31,14,12,1,8,1,9,4,1,1,10,5,6,41,3,8,9,8,4,3,1,5,2,12,2,1,4,0,4,17,3,5,13,5,2,7,10,6,2,1,3,6,0,1,6,2,9,2,1,2,5,1,5,3,1,14,2,0,4,1,7,0,3,40,5,11,3,3,9,5,11,2,3,15,0,0,7,11,16,19,8,0,12,10,9,4,6,26,3,5,2,1,2,4,12,0,20,12,8,2,5,17,7,25,8,0,9,13,1,0,0,1,4,0,0,6,9,5,3,0,1,0,1,0,1,0,0,0,13,0,4,5,5,6,4,0,2,2,1,1,0,2,6,2,1,1,0,0,4,0,3,1,0,0,4,0,0,0,20,3,36,7,3,1,2,5,2,0,1,5,3,0,1,3,1,0,1,3,1,1,3,3,2,6,0,0,2,0,1,0,3,2,1,3,1,1,2,5,6,1,5,2,1,0,2,2,2,0,5,2,1,0,4,4,7,56,2,10,1,1,5,8,8,9
