prefix,total_count,entropy,max_byte,max_count,nz
0a0a,286,2.42211,e6,94,249
0a0a0a,22,1.0958,e5,16,253
0a0a0ae5,16,0,8d,16,255
0a0a0ae58d,16,0,b7,16,255
0a0a0ae58db7,8,0.954434,e4,5,254
0a0a0ae58db7e4,5,1.52193,b8,2,253
0a0a0ae58db7e4b8,2,1,83,1,254
0a0a0ae58db7e4b883,1,0,0a,1,255
0a0a0ae58db7e4b889,1,0,0a,1,255
0a0a0ae58db7e4b9,1,0,9d,1,255
0a0a0ae58db7e4b99d,1,0,0a,1,255
0a0a0ae58db7e4ba,2,1,8c,1,254
0a0a0ae58db7e4ba8c,1,0,0a,1,255
0a0a0ae58db7e4ba94,1,0,0a,1,255
0a0a0ae58db7e5,3,0.918296,85,2,254
0a0a0ae58db7e585,2,1,ab,1,254
0a0a0ae58db7e585ab,1,0,0a,1,255
0a0a0ae58db7e585ad,1,0,0a,1,255
0a0a0ae58db7e59b,1,0,9b,1,255
0a0a0ae58db7e59b9b,1,0,0a,1,255
0a0a0ae6,2,0,90,2,255
0a0a0ae690,2,0,9c,2,255
0a0a0ae6909c,1,0,e7,1,255
0a0a0ae6909ce7,1,0,a5,1,255
0a0a0ae6909ce7a5,1,0,9e,1,255
0a0a0ae6909ce7a59e,1,0,e5,1,255
0a0a0ae9,4,1,95,2,254
0a0a0ae995,2,0,b7,2,255
0a0a0ae995b7,1,0,e6,1,255
0a0a0ae995b7e6,1,0,b2,1,255
0a0a0ae995b7e6b2,1,0,99,1,255
0a0a0ae995b7e6b299,1,0,e9,1,255
0a0a0ae999,2,0,b6,2,255
0a0a0ae999b6,1,0,e6,1,255
0a0a0ae999b6e6,1,0,bd,1,255
0a0a0ae999b6e6bd,1,0,9b,1,255
0a0a0ae999b6e6bd9b,1,0,0a,1,255
0a0ae4,12,0.650022,b8,10,254
0a0ae4b8,10,1.92193,ad,4,252
0a0ae4b881,2,0,e4,2,255
0a0ae4b881e4,1,0,bb,1,255
0a0ae4b881e4bb,1,0,a4,1,255
0a0ae4b881e4bba4,1,0,e5,1,255
0a0ae4b881e4bba4e5,1,0,a8,1,255
0a0ae4b88a,2,0,e8,2,255
0a0ae4b88ae8,1,0,99,1,255
0a0ae4b88ae899,1,0,9e,1,255
0a0ae4b88ae8999e,1,0,e9,1,255
